Title,Price,Depreciation/Yr,Registration Date,Engine Capacity,Mileage/Km,Vehicle Type
Lexus ES250 Luxury,"$51,800","$18,600 /yr",23-Jun-2015,"2,494 cc",-,Luxury
Toyota Alphard 2.5A S C-Package Moonroof,"$265,333","$32,300 /yr",23-Feb-2021,"2,493 cc","59,600 km",MPV
Volkswagen Golf 1.2A TSI (COE till 10/2025),"$26,800","$14,750 /yr",18-Oct-2010,"1,197 cc",-,Hatchback
Toyota Vellfire 2.4A Z Golden Eyes II (New 10-yr COE),"$169,800","$16,970 /yr",20-Jun-2014,"2,362 cc","108,000 km",MPV
Mercedes-Benz C-Class C200 Mild Hybrid AMG Line,"$275,988","$24,610 /yr",11-Oct-2023,"1,496 cc",80 km,Luxury
Porsche 911 Carrera S Cabriolet 3.0A PDK,"$598,800","$75,180 /yr",12-Feb-2020,"2,981 cc","20,000 km",Sports
Nissan GTR 3.8A (COE till 08/2028),"$230,000","$49,040 /yr",08-Aug-2009,"3,799 cc",-,Sports
Mercedes-Benz S-Class S320L,"$244,800","$32,760 /yr",30-Apr-2019,"2,996 cc",-,Luxury
Hyundai TL Tucson 2.0A GLS,"$54,500","$16,340 /yr",01-Oct-2016,"1,999 cc","93,584 km",SUV
Mercedes-Benz S-Class S400L Hybrid AMG Line,"$212,800","$28,970 /yr",15-Dec-2017,"3,498 cc","83,000 km",Luxury
Subaru Impreza 4D 1.6i-S,"$30,800","$15,900 /yr",12-Jun-2015,"1,600 cc","97,800 km",Sedan
Toyota Hiace 3.0M,"$96,800","$13,320 /yr",31-Mar-2021,"2,982 cc",-,Van
BMW 2 Series 216d Active Tourer,"$48,000","$16,760 /yr",07-Apr-2016,"1,496 cc","127,000 km",Hatchback
Toyota Hiace 3.0M,"$96,800","$13,320 /yr",31-Mar-2021,"2,982 cc",-,Van
Toyota Hiace 3.0M,"$95,800","$13,360 /yr",24-Feb-2021,"2,982 cc",-,Van
Toyota Hiace 2.8A DX,"$115,800","$14,850 /yr",11-Oct-2021,"2,754 cc",-,Van
Mazda 3 1.5A,"$38,800","$13,120 /yr",30-Jun-2016,"1,496 cc","136,777 km",Sedan
Mazda 5 2.0A SP Sunroof,"$37,800","$16,180 /yr",30-Sep-2015,"1,998 cc","95,222 km",MPV
Mercedes-Benz E-Class E200 Avantgarde,"$125,800","$23,620 /yr",23-Nov-2017,"1,991 cc","124,342 km",Luxury
Mercedes-Benz GLC-Class GLC300 Mild Hybrid 4MATIC,"$323,000","$30,450 /yr",29-May-2023,"1,991 cc","4,500 km",SUV
Kia K2500 Single-Cab,"$61,800","$12,500 /yr",03-Dec-2018,"2,497 cc",-,Truck
Toyota Voxy Hybrid 1.8A V,"$90,700","$24,490 /yr",04-Jul-2017,"1,797 cc","66,000 km",MPV
BMW 6 Series 640i Gran Coupe Sunroof (COE till 10/2032),"$182,800","$20,710 /yr",19-Oct-2012,"2,979 cc","121,000 km",Luxury
Mazda CX-5 2.0A Premium,"$56,800","$16,800 /yr",30-Jun-2016,"1,998 cc","88,000 km",SUV
Honda Civic 2.0A (COE till 03/2028),"$73,000","$17,290 /yr",14-Mar-2008,"1,998 cc","216,000 km",Sedan
Nissan Qashqai 1.2A DIG-T,"$60,800","$17,110 /yr",18-Feb-2017,"1,197 cc","95,000 km",SUV
Porsche Macan 2.0A PDK,"$359,000","$33,850 /yr",16-Mar-2023,"1,984 cc","9,000 km",SUV
Toyota Land Cruiser BJ60 (COE till 08/2031),"$54,666","$7,140 /yr",20-Aug-2021,"3,431 cc",-,SUV
Rolls-Royce Cullinan 6.75A,"$1,750,000","$173,580 /yr",06-Jan-2022,"6,749 cc","13,500 km",SUV
Toyota Prius Plus Hybrid 1.8A,"$172,911","$23,820 /yr",25-Sep-2020,"1,798 cc","72,830 km",MPV
Toyota Previa 2.4A Aeras Moonroof,"$108,800","$23,480 /yr",03-Oct-2017,"2,362 cc","128,000 km",MPV
Mercedes-Benz C-Class C200 Coupe AMG Line,"$96,000","$27,950 /yr",15-Jul-2016,"1,991 cc","85,000 km",Sports
Mercedes-Benz R-Class R350L (COE till 06/2026),"$46,800","$18,590 /yr",18-Aug-2006,"3,498 cc",-,MPV
BMW 3 Series 320i (COE till 04/2032),"$128,000","$15,320 /yr",31-May-2012,"1,997 cc","170,000 km",Luxury
Toyota 86 2.0A High Grade (COE till 06/2031),"$126,666","$16,840 /yr",20-Jul-2012,"1,998 cc","158,000 km",Sports
Volkswagen Passat 2.0A TSI R-Line,"$82,900","$21,110 /yr",13-Dec-2016,"1,984 cc","103,500 km",Luxury
Toyota Fortuner 2.7A (COE till 03/2030),"$91,800","$14,680 /yr",25-Mar-2010,"2,694 cc","151,588 km",SUV
Mazda 3 Mild Hybrid 1.5A Astina Sunroof,"$134,800","$15,540 /yr",25-May-2022,"1,496 cc","26,687 km",Sedan
Hyundai i45 2.4A Sunroof (COE till 08/2030),"$80,800","$12,080 /yr",03-Sep-2010,"2,359 cc","162,000 km",Luxury
Volkswagen Passat 2.0A FSI (COE till 05/2026),"$34,000","$13,960 /yr",28-Jun-2006,"1,984 cc","169,000 km",Luxury
Renault Kangoo ZE-Tech Electric,"$58,800","$10,360 /yr",26-Aug-2019,-,"67,000 km",Van
Toyota Esquire 2.0A Xi,"$52,800","$25,580 /yr",14-Jul-2015,"1,986 cc","109,000 km",MPV
Mercedes-Benz Vito 109 CDI,"$37,500","$11,380 /yr",11-Apr-2017,"1,598 cc",-,Van
Toyota Hiace 2.0A DX,"$97,800","$10,570 /yr",24-Mar-2023,"1,998 cc",-,Van
Mitsubishi Lancer EX 1.5A GLX (COE till 09/2028),"$70,888","$14,910 /yr",24-Sep-2008,"1,499 cc",-,Sedan
BMW 5 Series 523i (COE till 08/2030),"$88,888","$13,300 /yr",30-Aug-2010,"2,497 cc","126,000 km",Luxury
Honda Fit 1.3A (COE till 07/2028),"$50,877","$11,090 /yr",25-Jul-2008,"1,339 cc",-,Hatchback
BMW X4 xDrive20i,"$170,800","$28,220 /yr",17-Jan-2019,"1,998 cc","73,000 km",SUV
Toyota Wish 1.8A,"$82,800","$18,520 /yr",29-Nov-2017,"1,798 cc",-,MPV
McLaren GT 4.0 V8,"$1,168,000","$109,350 /yr",25-Feb-2023,"3,994 cc","1,000 km",Sports
Mitsubishi Evolution 9 MR GSR (COE till 10/2026),"$158,800","$55,630 /yr",28-Dec-2006,"1,997 cc",-,Sports
MINI Cooper D 1.5A 5DR,"$59,800","$21,120 /yr",14-Jul-2016,"1,496 cc","109,000 km",Hatchback
Mercedes-Benz C-Class C200 Avantgarde,"$63,800","$29,900 /yr",14-May-2015,"1,991 cc","73,000 km",Luxury
Mercedes-Benz A-Class A180 Style,"$56,800","$19,360 /yr",30-May-2016,"1,595 cc","106,000 km",Hatchback
Toyota Dyna 150 3.0M,"$66,800","$17,760 /yr",28-Sep-2017,"2,982 cc",-,Truck
Nissan Sylphy 1.6A,"$28,800","$15,650 /yr",27-Jun-2015,"1,598 cc",-,Sedan
Audi A3 Sedan 1.0A TFSI S-tronic,"$73,000","$17,010 /yr",17-Oct-2017,999 cc,"103,000 km",Luxury
Audi S3 Sportback 2.0A TFSI Quattro,"$80,000",N.A,19-May-2014,"1,984 cc","104,000 km",Sports
Jeep Wrangler Unlimited Sahara 2.0A,"$250,000","$32,070 /yr",16-Dec-2020,"1,995 cc","25,000 km",SUV
MINI Cooper Electric,"$179,000","$19,420 /yr",28-Dec-2022,-,"10,588 km",Hatchback
Hyundai Avante 1.6M S (COE till 08/2030),"$58,800","$8,810 /yr",26-Aug-2010,"1,591 cc",-,Sedan
BMW M3 Coupe Competition Package (COE till 06/2031),"$158,800","$21,120 /yr",10-Nov-2011,"3,999 cc","103,000 km",Sports
Toyota ProAce Electric Icon,"$139,000","$15,000 /yr",30-Mar-2023,-,74 km,Van
Mercedes-Benz GLC-Class GLC250 4MATIC Sunroof,"$99,800","$27,860 /yr",16-Sep-2016,"1,991 cc","106,000 km",SUV
Citroen C4 Picasso Diesel 1.6A BlueHDi,"$53,800","$13,960 /yr",26-Jul-2017,"1,560 cc",-,Hatchback
Porsche Macan S 3.0A PDK,"$125,500","$43,680 /yr",08-Sep-2015,"2,997 cc","67,100 km",SUV
Porsche 911 GT3 Club Sport (COE till 04/2027),"$375,000","$111,920 /yr",24-May-2007,"3,600 cc","96,900 km",Sports
Toyota Supra MK-iii 2.0M Turbo (COE till 01/2033),"$90,000","$9,780 /yr",10-Jan-2023,"1,988 cc","195,000 km",Sports
MINI Cooper S 2.0A,"$78,366","$23,540 /yr",20-Sep-2016,"1,998 cc","98,000 km",Sports
Porsche 911 Carrera S Cabriolet 3.8A PDK (COE till 05/2032),"$379,800","$44,990 /yr",15-Jun-2012,"3,800 cc","77,000 km",Sports
BMW 4 Series 420i Convertible M-Sport,"$53,000","$28,600 /yr",14-Nov-2014,"1,997 cc","113,000 km",Sports
Ferrari 458 Italia (COE till 01/2031),"$475,500","$66,880 /yr",18-Mar-2011,"4,497 cc","63,000 km",Sports
Honda N-Van Turbo Style Fun Honda Sensing,"$89,800","$10,860 /yr",29-Mar-2022,658 cc,-,Van
Toyota Hiace 2.8A DX,"$128,800","$13,900 /yr",28-Mar-2023,"2,754 cc",-,Bus
Ferrari Portofino M 3.9A,"$1,198,000","$101,500 /yr",17-Mar-2023,"3,855 cc",20 km,Sports
BMW M340i xDrive,"$340,000",N.A,15-Mar-2022,"2,998 cc","30,000 km",Luxury
Nissan Cabstar 3.0M,"$38,800","$14,970 /yr",28-Jul-2016,"2,953 cc",-,Truck
Jaguar XF 3.0A Luxury (COE till 07/2024),"$14,600","$26,000 /yr",17-Jul-2009,"2,967 cc",-,Luxury
Mercedes-Benz 190SL (COE till 02/2032),"$770,000","$94,500 /yr",15-Feb-2022,"1,897 cc",-,Sports
Rolls-Royce Wraith 6.6A (New 10-yr COE),"$950,000","$94,920 /yr",03-Oct-2014,"6,592 cc","8,500 km",Sports
Honda Fit 1.3A G (COE till 08/2024),"$17,800","$25,880 /yr",29-Sep-2009,"1,339 cc","140,000 km",Hatchback
Mercedes-Benz CLA-Class CLA180 (New 10-yr COE),"$138,800","$13,870 /yr",01-Jul-2014,"1,595 cc",-,Luxury
Chrysler Valiant Charger (COE till 03/2032),"$128,888","$15,590 /yr",30-Mar-2022,"3,682 cc",-,Sports
Porsche Boxster 2.5A Tip (COE till 11/2026),"$45,888","$15,620 /yr",01-Oct-1997,"2,480 cc",-,Sports
MINI Cooper S 1.6A Sunroof (COE till 07/2030),"$73,800","$11,200 /yr",27-Jul-2010,"1,598 cc","146,000 km",Sports
MINI Cooper S Clubman 1.6A Sunroof (COE till 01/2031),"$98,800","$13,900 /yr",24-May-2011,"1,598 cc","95,000 km",Sports
Toyota Supra 2.0M Turbo Targa GT,"$79,800",N.A,N.A.,"1,988 cc",-,Sports
Rolls-Royce Phantom EWB,"$2,750,000",N.A,N.A.,"6,749 cc",-,Luxury
BMW 3 Series 318i Cabriolet (COE till 06/2026),"$49,800","$19,780 /yr",05-Aug-1996,"1,796 cc",-,Sports
Mitsubishi Evolution 10 GSR SST (COE till 11/2027),"$113,800","$28,910 /yr",05-Dec-2008,"1,998 cc","110,000 km",Sports
BMW Z4 sDrive20i M-Sport,"$298,888",N.A,N.A.,"1,998 cc",30 km,Sports
Honda Civic CRX (COE till 04/2029),"$65,800","$12,290 /yr",04-Jan-1993,"1,595 cc",-,Sports
Toyota Estima 2.4A Aeras Premium Moonroof,"$29,800","$19,040 /yr",31-Jul-2014,"2,362 cc","101,600 km",MPV
Honda Shuttle 1.5A G,"$96,000","$12,240 /yr",11-Aug-2021,"1,496 cc",-,Stationwagon
Audi Q5 Mild Hybrid 2.0A TFSI Quattro S-tronic,"$230,800","$25,750 /yr",31-Dec-2021,"1,984 cc","28,277 km",SUV
Porsche Macan 2.0A PDK,"$352,888","$35,330 /yr",14-Oct-2022,"1,984 cc","9,800 km",SUV
BMW X3 sDrive20i M-Sport,"$214,388","$27,260 /yr",27-Oct-2020,"1,998 cc","61,888 km",SUV
Honda Vezel Hybrid 1.5A X,"$92,800","$16,270 /yr",25-Jan-2019,"1,496 cc","54,758 km",SUV
Volkswagen Golf 1.4A TSI Sunroof,"$26,800","$16,160 /yr",14-May-2015,"1,395 cc","125,000 km",Hatchback
Toyota Yaris Cross 1.5A G,"$113,968","$14,360 /yr",16-Aug-2021,"1,490 cc","57,000 km",SUV
Hyundai i30 1.6A (COE till 09/2024),"$11,800","$15,440 /yr",29-Sep-2009,"1,591 cc","193,348 km",Hatchback
BMW M3 Sedan Competition Package (COE till 09/2031),"$298,800","$38,440 /yr",28-Sep-2021,"2,979 cc","48,740 km",Sports
BMW iX Electric xDrive40 Sport,"$410,888","$34,970 /yr",31-Jul-2023,-,-,SUV
Mazda CX-5 2.0A Premium,"$78,500","$16,110 /yr",04-Dec-2017,"1,998 cc","77,000 km",SUV
Honda N-Van Turbo Style Fun Honda Sensing,"$89,800","$9,030 /yr",30-Nov-2023,658 cc,-,Van
Honda Vezel 1.5A X,"$23,800","$15,870 /yr",17-Mar-2015,"1,496 cc","97,500 km",SUV
Porsche Panamera G2 3.0A PDK,"$340,340","$47,100 /yr",21-Jun-2019,"2,995 cc","95,959 km",Sports
Mercedes-Benz A-Class A35 AMG 4MATIC Premium Plus,"$175,800","$26,140 /yr",24-Jul-2019,"1,991 cc","72,000 km",Sports
Nissan Cabstar (COE till 11/2024),"$9,800","$10,460 /yr",02-Dec-2004,"3,153 cc",-,Truck
Toyota Camry Hybrid 2.5A,"$25,800",N.A,23-Jan-2014,"2,494 cc","151,000 km",Luxury
Jaguar XJ 2.0A TSS Premium Luxury SWB Sunroof,"$87,800","$20,030 /yr",14-Dec-2015,"1,999 cc",-,Luxury
Nissan Sylphy 1.6A,"$39,800","$14,680 /yr",19-Feb-2016,"1,598 cc","95,000 km",Sedan
Mercedes-Benz A-Class A35 AMG 4MATIC Premium Plus,"$246,800","$26,120 /yr",10-Mar-2022,"1,991 cc","5,000 km",Sports
Honda Shuttle Hybrid 1.5A,"$53,800","$17,680 /yr",18-Nov-2016,"1,496 cc",-,Stationwagon
Porsche Cayenne Diesel 3.0A Tip,"$76,800",N.A,25-Mar-2014,"2,967 cc","82,000 km",SUV
BMW 5 Series 530e Plug-in Hybrid,"$150,150","$22,720 /yr",05-Dec-2018,"1,998 cc","58,585 km",Luxury
MINI One Clubman 1.5A,"$169,900","$18,070 /yr",22-Apr-2022,"1,499 cc","22,000 km",Hatchback
Toyota Sienta 1.5A Standard,"$78,800","$14,850 /yr",10-Sep-2018,"1,496 cc","50,000 km",MPV
MINI Cooper D 1.5A 5DR,"$76,999","$16,980 /yr",08-Dec-2017,"1,496 cc","50,500 km",Hatchback
Honda Vezel 1.5A G,"$126,888","$14,970 /yr",21-Feb-2022,"1,496 cc","30,000 km",SUV
Honda Civic 1.6A VTi,"$73,800","$15,830 /yr",09-Jan-2018,"1,597 cc","75,413 km",Sedan
Honda Vezel 1.5A X,"$27,800","$17,420 /yr",07-Jun-2015,"1,496 cc","130,000 km",SUV
Volkswagen Golf 1.4A TSI,"$14,388","$14,780 /yr",30-Sep-2014,"1,395 cc",-,Hatchback
Hyundai Elantra 1.6A GLS (OPC),"$56,900","$12,000 /yr",20-Apr-2018,"1,591 cc","60,000 km",Sedan
Suzuki Jimny Sierra 1.5A JC,"$144,500","$18,110 /yr",06-Oct-2021,"1,460 cc","28,633 km",SUV
Mercedes-Benz C-Class C200 Avantgarde,"$34,800","$28,680 /yr",04-Aug-2014,"1,991 cc","129,000 km",Luxury
Kia Cerato K3 1.6A SX Sunroof,"$33,838","$14,340 /yr",18-Sep-2015,"1,591 cc","144,000 km",Sedan
Honda Freed Hybrid 1.5A G Honda Sensing,"$89,800","$18,560 /yr",27-Apr-2018,"1,496 cc","71,000 km",MPV
BMW X1 sDrive18i,"$101,800","$19,140 /yr",22-Mar-2018,"1,499 cc","62,000 km",SUV
MINI Cooper S Electric Level 3,"$156,000","$20,540 /yr",14-Jun-2021,-,"31,000 km",Sports
Porsche Macan Diesel S 3.0A PDK,"$124,000","$29,420 /yr",21-Jun-2016,"2,967 cc","154,500 km",SUV
Audi Q5 2.0A TFSI Quattro S-tronic Sport Panoramic Roof,"$122,800","$27,040 /yr",20-Jun-2017,"1,984 cc","75,000 km",SUV
Toyota Dyna 150 2.8M,"$101,800","$13,140 /yr",21-Sep-2021,"2,755 cc","44,000 km",Truck
Volkswagen Golf 1.4A TSI (New 5-yr COE),"$65,800","$13,150 /yr",23-Aug-2013,"1,395 cc","122,000 km",Hatchback
Mitsubishi Fuso Canter FEB21,"$131,800","$13,230 /yr",07-Dec-2023,"2,998 cc",-,Truck
Kia Cerato 1.6A SX Sunroof,"$83,000","$14,400 /yr",13-Feb-2019,"1,591 cc","63,000 km",Sedan
Mercedes-Benz GLA-Class GLA180 Urban Edition,"$120,800","$18,490 /yr",05-Sep-2019,"1,595 cc","69,000 km",SUV
Hyundai Elantra 1.6A,"$23,388","$14,500 /yr",27-Feb-2015,"1,591 cc","94,000 km",Sedan
Toyota Dyna 150 2.8M,"$118,800","$12,810 /yr",31-Mar-2023,"2,755 cc",-,Truck
Suzuki Swift 1.5A GL (COE till 03/2026),"$29,188","$13,090 /yr",18-Mar-2011,"1,490 cc","147,000 km",Hatchback
Volvo XC60 T5 2.0A,"$58,800","$17,880 /yr",16-Feb-2016,"1,969 cc","113,000 km",SUV
BMW 5 Series 530i,"$113,800","$22,520 /yr",25-Aug-2017,"1,998 cc",-,Luxury
Mercedes-Benz 300SL (COE till 03/2029),"$75,800","$14,380 /yr",10-Oct-1991,"2,960 cc","199,000 km",Sports
MINI Cooper 1.5A 3DR,"$65,000","$20,790 /yr",28-Sep-2016,"1,499 cc","61,335 km",Hatchback
Toyota Allion 1.5A (COE till 05/2029),"$59,800","$11,000 /yr",15-Jun-2009,"1,496 cc","210,000 km",Sedan
Mercedes-Benz GLC-Class GLC250 4MATIC,"$159,800","$26,060 /yr",22-Jan-2019,"1,991 cc","87,992 km",SUV
MINI John Cooper Works Cabriolet 2.0A,"$160,000","$24,770 /yr",17-May-2019,"1,998 cc","40,000 km",Sports
MINI John Cooper Works GP 2.0A,"$50,000",N.A,N.A.,"1,998 cc",35 km,Sports
Hyundai Avante 1.6A S,"$128,800","$15,140 /yr",25-Apr-2022,"1,598 cc","24,000 km",Sedan
Mercedes-Benz E-Class E200 Mild Hybrid Sport,"$210,800","$23,440 /yr",17-Sep-2021,"1,991 cc","71,000 km",Luxury
Mitsubishi Attrage 1.2A,"$54,500","$12,140 /yr",06-Apr-2018,"1,193 cc","75,000 km",Sedan
Honda Stream 1.8A Sunroof (COE till 04/2028),"$55,800","$13,000 /yr",09-Apr-2008,"1,799 cc",-,MPV
BMW X1 sDrive18i,"$99,800","$17,840 /yr",31-May-2018,"1,499 cc","79,000 km",SUV
Toyota Wish 1.8A Elegance,"$56,888","$16,530 /yr",26-Oct-2016,"1,798 cc","88,000 km",MPV
Subaru Impreza WRX 2.5M (COE till 11/2027),"$69,900","$17,750 /yr",22-Feb-2008,"2,457 cc","12,000 km",Sports
Volvo XC40 T5 R-Design,"$177,888","$21,890 /yr",20-Apr-2021,"1,969 cc","51,000 km",SUV
Mercedes-Benz GLC-Class GLC250 4MATIC,"$120,988","$26,960 /yr",20-Jun-2017,"1,991 cc","124,063 km",SUV
Subaru Forester 2.0A XT Sunroof,"$58,000","$17,750 /yr",31-Aug-2016,"1,998 cc","54,000 km",SUV
BMW 4 Series 420i Coupe Sunroof (New 10-yr COE),"$167,000","$16,690 /yr",27-Jan-2014,"1,997 cc","95,724 km",Sports
Volkswagen Golf 1.4A TSI (New 5-yr COE),"$63,800","$12,750 /yr",30-May-2014,"1,395 cc",-,Hatchback
Volkswagen Sportsvan 1.4A Highline Sunroof,"$45,888","$15,370 /yr",18-Feb-2016,"1,395 cc","110,000 km",Hatchback
Toyota Corolla Altis 1.6A (COE till 03/2029),"$58,000","$11,000 /yr",15-Apr-2009,"1,598 cc",-,Sedan
Toyota Harrier Turbo 2.0A Premium Panoramic Roof,"$123,900","$20,570 /yr",18-Dec-2018,"1,998 cc","58,700 km",SUV
Porsche Macan S 3.0A PDK,"$152,000","$38,920 /yr",25-Jul-2016,"2,997 cc","75,000 km",SUV
Suzuki Vitara 1.6A GLX,"$77,800","$15,540 /yr",28-Jun-2018,"1,586 cc","34,794 km",SUV
Nissan Qashqai 1.2A DIG-T Premium,"$74,500","$15,140 /yr",26-Mar-2018,"1,197 cc",-,SUV
Mercedes-Benz CLA-Class CLA180 AMG Line,"$103,888","$19,480 /yr",31-May-2018,"1,595 cc","77,691 km",Luxury
Porsche Macan 2.0A PDK (New 10-yr COE),"$239,000","$23,880 /yr",17-Apr-2015,"1,984 cc","113,000 km",SUV
Mazda 3 1.5A,"$49,800","$14,200 /yr",09-Feb-2017,"1,496 cc","98,333 km",Sedan
Fiat Doblo Cargo Maxi 1.6A Multijet Glaze,"$26,800","$9,710 /yr",27-Sep-2016,"1,598 cc","92,125 km",Van
Chevrolet Orlando 1.4A Turbo,"$45,800","$15,500 /yr",31-May-2016,"1,362 cc","131,000 km",SUV
Toyota Vios 1.5A G,"$83,800","$13,790 /yr",28-Jun-2019,"1,496 cc","53,300 km",Sedan
BMW Z4 sDrive23i (COE till 09/2029),"$89,300","$15,480 /yr",30-Sep-2009,"2,497 cc","91,000 km",Sports
Ford Mustang 5.0A V8 MACH 1 Fastback,"$359,000","$33,840 /yr",12-Jul-2022,"5,038 cc","2,800 km",Sports
BMW 2 Series 216i Gran Tourer,"$145,000","$18,410 /yr",29-Oct-2020,"1,499 cc","32,100 km",MPV
BMW M6 Cabriolet (COE till 04/2032),"$239,000","$28,600 /yr",28-Sep-2012,"4,395 cc","77,512 km",Sports
Chevrolet Corvette Stingray 6.0A Convertible,"$799,000","$74,910 /yr",14-Apr-2023,"6,162 cc",500 km,Sports
Honda Jazz 1.3A,"$85,000","$12,560 /yr",19-Jun-2020,"1,318 cc",-,Hatchback
Citroen C3 Aircross 1.2A PureTech Shine,"$79,800","$13,670 /yr",25-Feb-2019,"1,199 cc","40,200 km",SUV
BMW X1 sDrive18i,"$97,800","$19,180 /yr",31-Jan-2018,"1,499 cc","98,000 km",SUV
Mercedes-Benz C-Class C180 Avantgarde,"$136,788","$21,660 /yr",26-Apr-2019,"1,595 cc","101,899 km",Luxury
Mercedes-Benz GLC-Class GLC200,"$129,800","$24,620 /yr",12-Mar-2018,"1,991 cc","70,000 km",SUV
Toyota Yaris Cross Hybrid 1.5A Active,"$138,800","$14,910 /yr",31-Oct-2022,"1,490 cc","53,745 km",SUV
Toyota Dyna 150 3.0M,"$41,800","$18,790 /yr",16-Mar-2016,"2,982 cc",-,Truck
Honda Shuttle 1.5A G Honda Sensing,"$110,000","$12,660 /yr",27-Apr-2022,"1,496 cc",-,Stationwagon
MINI John Cooper Works 2.0A Sunroof,"$70,800","$28,660 /yr",20-Nov-2015,"1,998 cc","83,300 km",Sports
Porsche 911 Turbo S Coupe 3.8A PDK,"$779,000",N.A,29-Sep-2020,"3,800 cc","29,400 km",Sports
BMW 3 Series 320i Sport,"$70,888","$21,960 /yr",16-May-2016,"1,998 cc","123,800 km",Luxury
Honda Fit 1.3A,"$125,800","$12,360 /yr",13-Dec-2023,"1,317 cc",30 km,Hatchback
BMW 1 Series 116i Sportline,"$151,888","$15,620 /yr",27-Jul-2022,"1,499 cc","10,000 km",Hatchback
Nissan Kicks e-POWER Hybrid 1.2A Premium Plus,"$113,800","$15,830 /yr",21-Aug-2020,"1,198 cc","40,000 km",SUV
Mercedes-Benz E-Class E250 Avantgarde,"$156,888","$23,980 /yr",28-Nov-2018,"1,991 cc","97,293 km",Luxury
Honda Jazz 1.5A RS,"$62,800","$16,560 /yr",01-Jun-2017,"1,498 cc","87,000 km",Hatchback
Toyota Corolla Altis 1.6A,"$40,800","$16,100 /yr",27-Nov-2015,"1,598 cc","99,000 km",Sedan
Nissan Kicks e-POWER Hybrid 1.2A Premium,"$118,800","$15,000 /yr",30-Jun-2021,"1,198 cc","38,000 km",SUV
Kia Cerato 1.6A LX,"$75,800","$13,950 /yr",04-Jan-2019,"1,591 cc","76,000 km",Sedan
Mercedes-Benz C-Class C200 Coupe AMG Line,"$131,888","$24,450 /yr",14-May-2018,"1,991 cc","68,279 km",Sports
BMW Z4 sDrive23i (COE till 03/2030),"$96,800","$15,440 /yr",01-Apr-2010,"2,497 cc","150,000 km",Sports
Mercedes-Benz S-Class S320L,"$160,888","$31,980 /yr",01-Dec-2016,"2,996 cc","56,200 km",Luxury
Porsche Cayenne Coupe 3.0A Tip Sunroof,"$385,000","$45,650 /yr",24-Dec-2020,"2,995 cc","32,000 km",SUV
Mazda 2 HB 1.5A,"$25,800","$13,950 /yr",19-Aug-2015,"1,496 cc","82,300 km",Hatchback
Mercedes-Benz S-Class S320L,"$148,888","$29,320 /yr",10-Oct-2016,"2,996 cc","158,000 km",Luxury
Mercedes-Benz E-Class E200 AMG Line,"$119,888","$28,870 /yr",05-Dec-2016,"1,991 cc","102,891 km",Luxury
Mercedes-Benz S-Class S320L,"$156,688","$26,750 /yr",28-Apr-2017,"2,996 cc","117,801 km",Luxury
Mercedes-Benz CLA-Class CLA250 AMG Line Sport,"$75,800","$24,100 /yr",13-May-2016,"1,991 cc","110,000 km",Luxury
Jaguar F-Type 3.0A S Coupe (New 10-yr COE),"$239,000","$23,880 /yr",18-Jul-2014,"2,995 cc","100,200 km",Sports
Mercedes-Benz S-Class S500L Mild Hybrid AMG Line 4MATIC Premium,"$469,000","$50,470 /yr",30-Jul-2021,"2,999 cc","18,200 km",Luxury
Toyota Altis 1.6A (COE till 08/2031),"$121,200","$15,820 /yr",22-Aug-2011,"1,598 cc",-,Sedan
Bentley Mulsanne S 6.75A (New 10-yr COE),"$699,000","$69,840 /yr",18-Sep-2015,"6,752 cc","42,200 km",Luxury
Ferrari 599 F1 GTB Fiorano (COE till 05/2028),"$369,000","$83,600 /yr",23-May-2008,"5,999 cc","48,000 km",Sports
Honda Vezel 1.5A G Honda Sensing,"$133,800","$14,770 /yr",11-Nov-2022,"1,496 cc",50 km,SUV
Toyota Vios 1.5A E (OPC) (COE till 06/2029),"$61,800","$11,190 /yr",30-Jul-2009,"1,497 cc","78,000 km",Sedan
Mercedes-Benz E-Class E200,"$54,800","$21,400 /yr",12-May-2015,"1,991 cc","90,000 km",Luxury
Toyota Wish 1.8A X (COE till 10/2029),"$75,888","$12,990 /yr",27-Oct-2009,"1,797 cc","107,000 km",MPV
Kia Cerato 1.6A EX,"$96,888","$13,570 /yr",27-Jul-2020,"1,591 cc","79,888 km",Sedan
Toyota Camry 2.5A,"$44,800","$15,430 /yr",12-Nov-2015,"2,494 cc","129,000 km",Luxury
Mercedes-Benz A-Class A180 (New 10-yr COE),"$126,800","$12,670 /yr",08-Aug-2014,"1,595 cc","78,000 km",Hatchback
Mazda 3 1.5A Sunroof,"$37,888","$12,750 /yr",30-Jun-2016,"1,496 cc","87,000 km",Sedan
Toyota Sienta 1.5A G,"$117,800","$15,310 /yr",05-May-2021,"1,496 cc","31,000 km",MPV
BMW 3 Series 318i Luxury,"$111,800","$18,480 /yr",21-Dec-2018,"1,499 cc","69,000 km",Luxury
Toyota Harrier 2.0A Elegance,"$69,800","$18,980 /yr",14-Dec-2016,"1,986 cc","88,210 km",SUV
Mercedes-Benz E-Class E200 AMG Edition E Sunroof,"$83,800","$23,750 /yr",03-Feb-2016,"1,991 cc","98,600 km",Luxury
Toyota Camry 2.4A (COE till 12/2028),"$53,800","$10,790 /yr",18-Dec-2008,"2,362 cc","161,000 km",Luxury
